gene,n,mean_difference,ci_low,ci_high,p_value,q_value,sd_difference,median_difference,missing_pairs,status
CCDC102A,72,0.37800677272581945,0.2891307680060927,0.4668827774455462,2.1476870333243794e-12,5.7462035934519595e-12,0.3782143061965955,0.4237291944881899,0,tested
CCDC102B,72,1.1490145564925074,0.9682464039857144,1.3297827089993004,6.62179618253424e-20,3.1259546775295076e-19,0.769263892975401,1.1675399083566051,0,tested
CCDC103,72,-0.00041126977235738196,-0.002117953696372914,0.00129541415165815,0.6323545374411766,0.6623455728458727,0.007262840833743571,0.0,0,tested
CCDC105,72,0.024286784380889614,-0.019859886845203793,0.06843345560698302,0.2763719712150507,0.3105367270965071,0.18786738536819172,0.0,0,tested
CCDC106,72,-0.3638207566688296,-0.48143120133558165,-0.2462103120020776,3.7798506310152325e-08,7.612143587031841e-08,0.5004945133546895,-0.32632089166033973,0,tested
CCDC107,72,0.5050780467860386,0.409256337089149,0.6008997564829283,4.0884681669745414e-16,1.4212472064903273e-15,0.4077719466111049,0.48691894184185003,0,tested
CCDC110,72,0.702325947655643,0.5958922716713301,0.808759623639956,1.0158101094974351e-20,5.1275893899903714e-20,0.45293146384454114,0.741463494391671,0,tested
CCDC112,72,0.8136575636393782,0.7273453957776156,0.8999697315011409,2.81842584614032e-29,3.48002386132196e-28,0.3673038272490544,0.77732732251036,0,tested
CCDC113,72,-0.31535917182020523,-0.47616665226114696,-0.15455169137926353,0.0002085660835359778,0.000323059960771963,0.6843206986856596,-0.38531083526760346,0,tested
CCDC114,72,-0.06249383943738713,-0.09595673813959044,-0.02903094073518383,0.0003901113069523309,0.0005918747707411292,0.1424022947013914,-0.0900252144574535,0,tested
CCDC115,72,0.41500788252704235,0.3429833356999072,0.4870324293541775,7.388948145681611e-18,2.932599644962134e-17,0.30650245916491836,0.3882940263540653,0,tested
CCDC116,72,0.024303359145185652,0.005163308889943281,0.043443409400428026,0.013561109845405803,0.017964135672850056,0.08145101538579516,0.017402974668750487,0,tested
CCDC117,72,0.10541233301309766,0.03756501968249916,0.17325964634369617,0.00279123771180106,0.00394553858830636,0.28872612601745046,0.10197501014240995,0,tested
CCDC12,72,-0.4658617236373964,-0.5366486168792621,-0.3950748303955307,1.162170718684593e-20,5.849305509737304e-20,0.301235589962814,-0.47067309822318504,0,tested
CCDC120,72,-0.6028758461363383,-0.6827468230659023,-0.5230048692067742,8.75131901429265e-24,5.926151390910782e-23,0.3398931603633886,-0.6014336095101034,0,tested
CCDC121,72,0.030369712652260288,-0.04456456548744984,0.10530399079197042,0.42172398693007845,0.4566415130958056,0.318884901569643,-0.0035907235099450485,0,tested
CCDC122,72,0.10753157222186945,0.013934475977548877,0.20112866846619,0.02494714369599235,0.03210191090067636,0.39830504228555214,0.11918563949858996,0,tested
CCDC124,72,0.01881456664895144,-0.0687297974967782,0.10635893079468108,0.669564307261673,0.6977839144240223,0.3725474727539154,-0.030924256586070342,0,tested
CCDC125,72,0.03358435527088305,-0.06333238090891072,0.13050109145067681,0.4918454626358926,0.5268387489872408,0.4124318622182986,-0.00808375938580519,0,tested
CCDC126,72,-0.15050618760122703,-0.23248805798663866,-0.0685243172158154,0.0004804729258817115,0.0007240602857537441,0.34887612608485646,-0.22732663268543996,0,tested
CCDC127,72,0.8343195664660785,0.7380970676574095,0.9305420652747476,3.732592670597842e-27,3.604634313429049e-26,0.40947751580630937,0.8336249311110199,0,tested
