gene,n,mean_difference,ci_low,ci_high,p_value,q_value,sd_difference,median_difference,missing_pairs,status
ACAN.1,72,0.8394280009515293,0.6180553741803847,1.0608006277226738,1.0879718487500757e-10,2.5977205041669467e-10,0.9420573608050883,0.8533547795972007,0,tested
ACAP1,68,0.5773893985042248,0.4477595392881073,0.7070192577203422,6.011903407295594e-13,1.6657671053685912e-12,0.5355464577130981,0.473016717399251,4,tested
ACAP2,72,0.2945064453084078,0.2510156332891383,0.3379972573276773,2.7144304379808428e-21,1.3637396386710964e-20,0.18507635830015684,0.31055483229104663,0,tested
ACAP3,47,-0.11012764362410031,-0.20664119459995717,-0.013614092648243453,0.02623072142924706,0.03272479832126781,0.3287123137950477,-0.0898446846929982,25,tested
ACAT1,72,-1.3011939339962284,-1.4325607866323993,-1.1698270813600575,1.4658815116348774e-30,2.46351577993848e-29,0.5590352894878929,-1.3475675258189455,0,tested
ACAT2,72,-0.21398143142920587,-0.3003633343974782,-0.12759952846093356,5.0259452495758195e-06,8.548111322087506e-06,0.36760058693136993,-0.21999767772119966,0,tested
ACBD3,72,0.07625962837702638,0.039480747099672184,0.11303850965438057,9.618807771378012e-05,0.00014853855374824627,0.15651355063572042,0.06290119562165075,0,tested
ACBD4,64,-0.1539240753273326,-0.2831830622786794,-0.024665088375985772,0.02036857402918265,0.025733977617711946,0.5174653036395782,-0.17993763515994993,8,tested
ACBD5,14,-0.1864673431433146,,,,,0.4638674537750048,-0.2951135531141475,58,insufficient_pairs
ACBD5.1,72,-0.3464571536770175,-0.4433244658302174,-0.24958984152381763,6.733881360605519e-10,1.5170516783909258e-09,0.41222153690060914,-0.3147003463166985,0,tested
ACBD6,72,0.5456734895447496,0.4918694729294747,0.5994775061600245,3.5154554397644755e-31,6.642290852571937e-30,0.2289644868590675,0.5391698210643514,0,tested
ACBD7,19,0.10040800825816955,,,,,0.7435352222970201,0.24905904858649902,53,insufficient_pairs
ACCS,32,-0.4168441705864937,-0.7271565848747645,-0.10653175629822292,0.010106779879530492,0.013133185148469036,0.8606916039403545,-0.5453709015376484,40,tested
ACD,22,0.4926442250614041,0.23468337412866214,0.750605075994146,0.0006953705803731563,0.001000810935717096,0.5818116876360931,0.33878137143504883,50,tested
ACE,72,-1.2938174988342988,-1.4741937456059508,-1.1134412520626467,1.3478436993496795e-22,7.749521968811079e-22,0.7675961272361761,-1.4048589641199014,0,tested
ACE2,72,-0.3749167039809669,-0.5550450458726323,-0.19478836208930148,9.100085108304272e-05,0.00014091858912118653,0.7665411611350037,-0.40233064716434985,0,tested
ACHE,5,0.4727027982701223,,,,,0.5089996437178299,0.608704574036502,67,insufficient_pairs
ACIN1,69,-0.1173314375520481,-0.20376502082421277,-0.03089785427988341,0.008535824314994176,0.011180146912837672,0.3598007736715906,-0.10442756719399701,3,tested
ACLY,72,1.6909027908597016,1.5677369878143597,1.8140685939050436,1.8477571015662393e-39,2.8966479687521996e-37,0.5241354952086527,1.7071553124902477,0,tested
ACLY.1,72,1.0256956237360664,0.8825251087473276,1.1688661387248052,1.4375768418784568e-22,8.246545714446288e-22,0.6092661024202891,0.8807739209300015,0,tested
ACMSD,72,-1.3773790821109082,-1.542549942572445,-1.2122082216493715,3.463422973130561e-26,2.9497897019880236e-25,0.7028891835355999,-1.4983974355526963,0,tested
ACO1,72,-1.2487711776287505,-1.3783019011116573,-1.1192404541458436,7.421079843542029e-30,1.0853599718696381e-28,0.5512215908863519,-1.340594532277052,0,tested
ACO2,72,-0.9172681434321297,-1.041620259953342,-0.7929160269109174,3.032209737185255e-23,1.8837250955529204e-22,0.5291838851494801,-0.9427588483999985,0,tested
ACOT1,67,-0.21408192546107296,-0.3976975385159028,-0.030466312406243146,0.022995719002329027,0.028886446569471282,0.7527723889149951,-0.06273680259109998,5,tested
ACOT11,72,-1.2401345479325552,-1.3374057319539447,-1.1428633639111656,2.1893489681932384e-37,1.8304781831568966e-35,0.413940224851326,-1.277174021325397,0,tested
ACOT13,72,-1.0622704579907762,-1.1900152753448443,-0.9345256406367082,4.065321758122596e-26,3.4390702528873526e-25,0.5436216177599598,-1.0865768008920011,0,tested
ACOT2,72,-1.3142993057221877,-1.4594587603743236,-1.1691398510700517,3.031378446202318e-28,3.401993283081416e-27,0.6177300903912932,-1.4434949399027999,0,tested
ACOT4,72,-0.793733944199327,-0.9639261213808159,-0.623541767017838,6.587627687166205e-14,1.949665739980488e-13,0.7242575362807424,-0.9286037073509519,0,tested
ACOT7,0,,,,,,,,72,insufficient_pairs
ACOT7.1,72,-1.699375396577258,-1.9316951148859758,-1.4670556782685402,4.7511589122692124e-23,2.8820058867470985e-22,0.9886430128470605,-1.9671366146628548,0,tested
ACOT8,72,-0.737657845910553,-0.8491424839723166,-0.6261732078487893,8.851322754129767e-21,4.263337551233027e-20,0.4744259732317786,-0.81779370239145,0,tested
ACOT9,72,-0.8336139455380277,-0.9773202725576137,-0.6899076185184417,5.4049970703341666e-18,2.1316169656707033e-17,0.611546265397211,-0.9267232741221004,0,tested
