gene,n_four_finite,protein_mean,rna_mean,same_direction
ANKRD50,52,0.20162489657599683,0.2842991925607869,True
ANKRD52,66,0.16560670990796658,-0.6897552193817534,False
ANKRD54,72,0.10213799006914868,-0.38903471072857954,False
ANKRD6,42,0.013365832759768418,0.06833201334453545,True
ANKS1A,72,-0.2570858585929967,-0.39317946228767164,True
ANKS3,72,0.3515882481183416,0.10449199915905874,True
ANKS4B,72,-1.1824224380082633,-1.2333868510634314,True
ANKS6,72,-0.1854784593951264,-0.4330364894893317,True
ANKZF1,72,0.5222739590248549,0.642101487020066,True
ANO1,33,0.5614419096218206,0.8230686661629414,True
ANO10,72,-0.5404173528675126,-0.9525334297892747,True
ANO5,27,0.8625655181574325,-2.1399049017868808,False
ANP32A,72,-0.0366736496667178,0.121472323270644,False
ANP32B,72,0.06475391946380987,-0.26024518394652274,False
ANP32E,21,0.0694228834768998,0.1459530483985533,True
ANPEP,72,-1.763957017848179,-1.762707532317212,True
ANTXR1,64,0.32972706598285273,0.40748743531807563,True
ANTXR2,67,0.14936533140451158,0.30425982524538425,True
ANXA1,72,1.1921921059955802,1.783892503079536,True
ANXA11,72,-0.19052537256784163,-0.5415031520880186,True
ANXA13,72,0.01909047180343652,0.8816671322638261,True
ANXA2,72,0.881185384009833,1.419904468544698,True
ANXA3,72,-1.1443535257477835,-1.98796049103606,True
ANXA4,72,1.0638887713470224,1.6707990146134388,True
ANXA5,72,0.5579339422721304,0.8510954843854844,True
ANXA6,72,-0.023256900119536756,0.26084768573012856,False
ANXA7,72,-0.4114018253197804,-0.35808582759026814,True
ANXA8,27,0.8166715222387784,0.3780587973287441,True
ANXA8L1,30,0.8537463031360834,0.38322559028001735,True
ANXA9,72,-1.1417801553651001,-1.7270681787165612,True
AOAH,65,0.9171132499481267,1.5500220874481891,True
AOC1,72,-0.8330492055041027,-1.2524615074484071,True
AOC3,72,-0.9709071040208322,-0.7794648731228844,True
AOX1,72,-1.3877495953097183,-2.0503647177525988,True
AP1AR,72,0.10989660697348475,-0.05783841411601295,False
AP1B1,72,-0.21128303991175276,0.1044410213464561,False
AP1G1,72,-0.4127565135464907,-0.4009787428316581,True
AP1G2,72,0.010326002792820591,0.10451522073953758,True
AP1S1,72,-0.4463826746726291,-0.015952299521124282,True
AP1S2,72,0.5545500571779622,0.8767579470223258,True
AP1S3,72,0.2736662438218965,0.24052788784845833,True
AP2A1,72,-0.12073061290084455,-0.010046085794996391,True
AP2A2,65,-0.31807922966532615,-0.6381111390498132,True
AP2B1,72,-0.3852660894541402,-0.44885348789107443,True
AP2M1,72,-0.23683642922959303,0.06945487424339827,False
AP2S1,72,-0.2627761483614224,0.44841457845271343,False
AP3B1,72,-0.29301608649416067,-0.09560375905953745,True
AP3B2,30,-0.013853173287119243,-0.19126008600587194,True
AP3D1,72,-0.19636487055978571,-0.4237924569412276,True
AP3M1,72,-0.16723914397654754,0.13637647037972403,False
AP3M2,72,-0.25895364025715123,0.1793193990529564,False
AP3S1,72,0.23538948036770924,1.0662983232246672,True
AP3S2,33,0.15790325674232408,-0.468320001555423,False
AP4B1,72,0.1432561342467059,0.20539910495192226,True
AP4E1,72,0.15897971272232328,0.026028914761332334,True
AP4M1,72,0.14937622261648867,0.2818903168223593,True
AP4S1,67,0.30879503422189103,-0.20361778070580527,False
AP5B1,72,0.10184159507776182,-0.5045305688695385,False
