gene,n_all,mean_difference_all,sd_difference_all,tumor_nonfinite_all,normal_nonfinite_all,status_all,ci95_low_all,ci95_high_all,t_all,p_all,q_all,finite_fraction_all,abs_effect_rank_all,n_early,mean_difference_early,sd_difference_early,tumor_nonfinite_early,normal_nonfinite_early,status_early,ci95_low_early,ci95_high_early,t_early,p_early,q_early,finite_fraction_early,abs_effect_rank_early
CPS1,72,-0.8242496588735135,0.8602110574757644,0,0,tested,-1.0263893472766206,-0.6221099704704065,-8.130551470339554,9.576246114098378e-12,2.454405174007018e-11,1.0,3378.0,37,-0.8583457101490136,0.7408884343393987,0,0,tested,-1.105370212847439,-0.6113212074505884,-7.047097621913829,2.8478011459775677e-08,7.92965680497066e-08,1.0,3291.0
CPSF1,72,-0.15866079523871973,0.25605746186314926,0,0,tested,-0.21883134885400587,-0.09849024162343359,-5.25773192026918,1.4691529403822448e-06,2.655760353775871e-06,1.0,12121.0,37,-0.15141058734902782,0.26096706126302077,0,0,tested,-0.2384213376067864,-0.06439983709126923,-3.5291605115209137,0.0011604120184095827,0.0018969141239492918,1.0,12344.0
CPSF2,72,-0.2188273797157917,0.20968047831838968,0,0,tested,-0.26809987648637396,-0.16955488294520946,-8.855435203921841,4.3434329819808436e-13,1.2203070057973662e-12,1.0,10582.0,37,-0.16471186964432188,0.20009604729076474,0,0,tested,-0.23142721338969158,-0.09799652589895219,-5.007111347441833,1.4700937973449418e-05,3.0035454932792795e-05,1.0,11998.0
CPSF3,72,0.3183886451667748,0.2720945131406811,0,0,tested,0.2544495692569048,0.38232772107664476,9.928966260359205,4.6223036666070914e-15,1.4924962509854618e-14,1.0,8456.0,37,0.29164921816723377,0.26093499442052126,0,0,tested,0.20464915952707158,0.37864927680739596,6.798754380178687,6.038001793966824e-08,1.6131186996169843e-07,1.0,9076.0
CPSF4,72,0.07006484475163502,0.30862426812663213,0,0,tested,-0.002458302737098614,0.14258799224036867,1.9263550652342971,0.05806367516209709,0.07163308786136872,1.0,14858.0,37,0.07713587010060789,0.3031797912492976,0,0,tested,-0.023949305062569176,0.17822104526378496,1.547593850027151,0.13046713023919157,0.16064221901277884,1.0,14556.0
CPSF4L,72,-0.03353488080784717,0.16807634250595943,0,0,tested,-0.0730308849649964,0.005961123349302079,-1.692997927391517,0.09483965421712337,0.11402225752014422,1.0,16285.0,37,-0.02963085751733716,0.13853196034560067,0,0,tested,-0.07581971271619364,0.01655799768151933,-1.3010533410298886,0.20150627183950787,0.2391148765272454,1.0,16447.0
CPSF6,72,0.058567140966732975,0.4713728136642823,0,0,tested,-0.05220003977074364,0.1693343217042096,1.0542794492627745,0.2953295664948751,0.33029594794142153,1.0,15250.0,37,0.037538965142743824,0.2749386642281371,0,0,tested,-0.0541301494710936,0.12920807975658125,0.8305147303944921,0.4117220348072262,0.45595563749289714,1.0,16103.0
CPSF7,72,-0.11638798750532559,0.2756890198540202,0,0,tested,-0.18117173108213924,-0.051604243928511914,-3.582242133136044,0.0006202024805257719,0.0009256789770170764,1.0,13344.0,37,-0.11650138159077328,0.24176989669122623,0,0,tested,-0.19711147850887534,-0.035891284672671234,-2.931093772908276,0.005835624753354454,0.008754131351391824,1.0,13305.0
CPT1A,72,-0.7714117731881156,0.47823739377405183,0,0,tested,-0.883792051167656,-0.6590314952085752,-13.687022462308798,1.3474969051607296e-21,7.316577284874722e-21,1.0,3671.0,37,-0.7597312276012854,0.43479966400250286,0,0,tested,-0.9047006532199046,-0.6147618019826663,-10.628491755973311,1.1890710912647176e-12,6.2044909493164504e-12,1.0,3855.0
CPT1B,72,-0.5623213659891643,0.4411582362162379,0,0,tested,-0.6659884691148725,-0.458654262863456,-10.815745058028275,1.1559010435742763e-16,4.1778099873721466e-16,1.0,5259.0,37,-0.5096702429438591,0.39663815065117836,0,0,tested,-0.6419159865330301,-0.37742449935468814,-7.81619985746998,2.876941378060576e-09,9.112204688117717e-09,1.0,5879.0
