gene,n,mean_difference,sd_difference,tumor_nonfinite,normal_nonfinite,status,ci95_low,ci95_high,t,p,q,finite_fraction,abs_effect_rank
ACP1.1,69,0.18322840984317587,0.5349244418922502,3,3,tested,0.054725528037781024,0.3117312916485707,2.845279374754082,0.00585845311839159,0.007442268362070327,0.9583333333333334,5098.0
ACP2,72,-0.315390954010172,0.34041165041327426,0,0,tested,-0.3953837701281691,-0.23539813789217484,-7.861602223122644,3.019046733576295e-11,6.37864700740385e-11,1.0,3796.0
ACP5,72,0.11977869456572937,0.6706628448051667,0,0,tested,-0.037819347559272326,0.27737673669073104,1.5154498775378769,0.13409814866415096,0.1511583609994502,1.0,5994.0
ACP6,72,-1.1138934974398618,0.49666525439762577,0,0,tested,-1.2306041103668695,-0.997182884512854,-19.030322059019998,1.3533064393720817e-29,1.5265448267090682e-28,1.0,762.0
ACPP,72,-1.5929411814918817,0.7173608636684705,0,0,tested,-1.761512720062942,-1.4243696429208215,-18.842056797535783,2.4433319692423883e-29,2.648532393038788e-28,1.0,230.0
ACSF2,72,-2.143135478522457,0.7371211431704205,0,0,tested,-2.3163504551272056,-1.9699205019177077,-24.67044627177668,1.4860220772006146e-36,8.254084006740518e-35,1.0,47.0
ACSF3,72,-1.1064442176364024,0.49666717461980686,0,0,tested,-1.2231552817935007,-0.9897331534793041,-18.902981697413193,2.0172492665226908e-29,2.222561640570965e-28,1.0,770.0
ACSL1,72,-0.9145503450310952,0.5733457102010482,0,0,tested,-1.0492799816709535,-0.779820708391237,-13.53497003714326,2.3979997559456825e-21,9.783936187632486e-21,1.0,1153.0
ACSL1.1,65,-0.9902545350167705,0.7773601396847887,7,7,tested,-1.1828749462732304,-0.7976341237603107,-10.270255561294968,3.65041295674388e-15,9.79361290926556e-15,0.9027777777777778,972.0
ACSL3,72,0.26840278989105654,0.30141266193684724,0,0,tested,0.19757428677525937,0.33923129300685373,7.555997081281982,1.110826854063111e-10,2.267832568472572e-10,1.0,4203.0
ACSL4,72,-0.6550705104893888,0.29599282992275067,0,0,tested,-0.7246254155213139,-0.5855156054574637,-18.779027866719712,2.980368917770676e-29,3.1793233461887446e-28,1.0,1952.0
ACSL5,72,0.7632369345748241,0.4664731806281324,0,0,tested,0.6536211111543799,0.8728527579952683,13.88349944654486,6.4263266685598e-22,2.760407199390967e-21,1.0,1580.0
ACSM2A,72,-1.637206628673225,0.8605363365434777,0,0,tested,-1.8394227539098513,-1.4349905034365986,-16.14360524026396,1.8306485933249166e-25,1.15821239360871e-24,1.0,201.0
ACSM2B,72,-1.7834080798629397,0.8078389798462029,0,0,tested,-1.97324093337819,-1.5935752263476894,-18.732346098981946,3.453848616788264e-29,3.6410074292686754e-28,1.0,128.0
ACSM3,72,-1.8415821655061793,0.789500945684628,0,0,tested,-2.027105792257682,-1.6560585387546767,-19.79268414244759,1.2874793834701121e-30,1.7515809044709936e-29,1.0,113.0
ACSM4,22,-1.6459446399569493,0.9173513920535773,50,50,below_cohort_completeness,,,,,,0.3055555555555556,
ACSM5,72,-0.29462069473524755,0.7792238570828608,0,0,tested,-0.47772932406303836,-0.11151206540745673,-3.2082430110149796,0.0020047925906446196,0.0026301677024029592,1.0,3973.0
ACSS1,72,-1.0115543093133983,0.47646506267912275,0,0,tested,-1.1235181099038578,-0.8995905087229388,-18.01459039112845,3.4389877762813356e-28,3.080935211364836e-27,1.0,929.0
ACSS2,72,-0.34846271429028713,0.3081251135527672,0,0,tested,-0.42086856620469726,-0.276056862375877,-9.59611550350838,1.876512806724634e-14,4.810131809471738e-14,1.0,3530.0
ACSS3,72,-1.286470738736758,0.58854962936992,0,0,tested,-1.4247731212238044,-1.1481683562497116,-18.547401362893208,6.209315811922338e-29,6.298467197635077e-28,1.0,511.0
ACTA1,63,0.21168862180677425,0.5475786488962122,9,9,tested,0.07378272491949789,0.3495945186940506,3.0684657800940975,0.0031890767390321253,0.004132050202085704,0.875,4767.0
ACTA2,72,-0.5065168567853223,1.09557886837811,0,0,tested,-0.7639652691840657,-0.24906844438657888,-3.9229837072168148,0.0001997612516203994,0.00028053655109863934,1.0,2563.0
ACTB,72,0.003521331129705889,0.2514572454971293,0,0,tested,-0.05556822463658393,0.06261088689599571,0.11882531119096727,0.9057493134584577,0.9129489872252555,1.0,8008.0
ACTBL2,72,-0.057194153962879114,0.2750482743194262,0,0,tested,-0.12182732972080357,0.007439021795045332,-1.7644484065111428,0.08195755188769173,0.0940695629048695,1.0,7058.0
