gene,n,mean_difference,sd_difference,tumor_nonfinite,normal_nonfinite,status,ci95_low,ci95_high,t,p,q,finite_fraction,abs_effect_rank
DAG1,37,-1.0963972601482843,0.22480524386504525,0,0,tested,-1.1713510602022366,-1.021443460094332,-29.666230456595628,6.7237518663322e-27,1.1157354521226248e-24,1.0,2258.0
DAGLA,37,-0.19678391283868843,0.3445767751221201,0,0,tested,-0.31167152961173705,-0.0818962960656398,-3.473797127378722,0.0013543656022539084,0.002193494765530668,1.0,11174.0
DAGLB,37,0.6856942528966873,0.21278176028825946,0,0,tested,0.614749281856116,0.7566392239372586,19.601846056308506,8.507272946777694e-21,3.0304155892335235e-19,1.0,4349.0
DALRD3,37,-0.5329838922426046,0.2971477377204483,0,0,tested,-0.6320578806276497,-0.43390990385755945,-10.91044634516401,5.758667452620013e-13,3.1453997940025284e-12,1.0,5641.0
DAND5,37,0.08514626483438732,0.08099234308893336,0,0,tested,0.058142073182019305,0.11215045648675534,6.394734237540887,2.0694302265719823e-07,5.209378857547118e-07,1.0,14314.0
DAO,37,-4.072202169510188,1.766270447787774,0,0,tested,-4.661106056752983,-3.4832982822673935,-14.02403510941375,3.6915042100794e-16,3.813479089767987e-15,1.0,88.0
DAOA,37,0.0006547458366363459,0.003982663441960322,0,0,tested,-0.0006731402668127523,0.001982631940085444,1.0000000000000007,0.32398502626512693,0.36614547241470363,1.0,18765.0
DAP,37,-0.9602885396008066,0.34409791773289894,0,0,tested,-1.075016497371294,-0.8455605818303192,-16.97542137262434,9.216696514571988e-19,1.8409061728947114e-17,1.0,2830.0
DAP3,37,0.028108162011754916,0.24624547443051337,0,0,tested,-0.05399416681886351,0.11021049084237333,0.6943285966008735,0.4919329416984269,0.5362134266251222,1.0,16505.0
DAPK1,37,0.01372751652781795,0.44583436364430756,0,0,tested,-0.13492106112652405,0.16237609418215995,0.18729203035609632,0.852483277954944,0.871653667901928,1.0,17325.0
DAPK2,37,-0.017163030299577952,0.44339501921347885,0,0,tested,-0.16499829002775618,0.1306722294286003,-0.23545288758054717,0.8151915387038873,0.8383725508147035,1.0,17101.0
DAPK3,37,0.4440041211506157,0.362577638325635,0,0,tested,0.3231147177726035,0.564893524528628,7.448809154102778,8.538671563228165e-09,2.5430479077068296e-08,1.0,6695.0
DAPL1,37,-0.26960656148876333,0.43710732349570947,0,0,tested,-0.41534539908938345,-0.12386772388814321,-3.751830733539494,0.0006177646290768269,0.0010445175613648147,1.0,9491.0
DAPP1,37,1.0570968935947869,0.7089162795193527,0,0,tested,0.8207324380486174,1.2934613491409563,9.070280315205371,7.878089902113779e-11,3.0902959456342206e-10,1.0,2397.0
DARS,37,1.5241529105863953,0.4140157571520807,0,0,tested,1.386113184522924,1.6621926366498667,22.39301295857286,1.0055755209071241e-22,5.943894055611955e-21,1.0,1241.0
DARS2,37,-0.5132911972864842,0.32518163374725967,0,0,tested,-0.6217121519673348,-0.40487024260563365,-9.601490791490459,1.8203450154005062e-11,7.803095409371117e-11,1.0,5834.0
DAW1,37,0.0016112297441911254,0.3308281926734174,0,0,tested,-0.10869238141507398,0.11191484090345624,0.0296248268216449,0.9765298940480165,0.9801572271646714,1.0,18504.0
DAXX,37,0.3497915055321305,0.2652697979397331,0,0,tested,0.261346151441266,0.438236859622995,8.020885452443553,1.5791408376288545e-09,5.1632582443819846e-09,1.0,8019.0
DAZ1,37,0.0007150723806416459,0.002440500015209692,0,0,tested,-9.86308365373439e-05,0.0015287755978206357,1.7822640673265568,0.08314241253874932,0.10606870835009236,1.0,18745.0
DAZ2,37,0.0012933476352992,0.00404143007453997,0,0,tested,-5.413223897342647e-05,0.0026408275095718267,1.9466194860598407,0.05941635252246595,0.07760394337539313,1.0,18576.0
DAZ3,37,0.0,0.0,0,0,zero_variance,,,,,,1.0,
DAZ4,37,0.00020568170470204594,0.001251112966529468,0,0,tested,-0.00021146012671560585,0.0006228235361196977,1.0000000000000002,0.32398502626512715,0.36614547241470363,1.0,18861.0
DAZAP1,37,0.2368306370921476,0.26089908234306164,0,0,tested,0.14984255213474812,0.3238187220495471,5.521615915216278,3.030354381215783e-06,6.69694510114459e-06,1.0,10217.0
DAZAP2,37,-0.2544340071131522,0.21605101069711102,0,0,tested,-0.326469000509334,-0.18239901371697048,-7.1634084927805795,2.0063111590835423e-08,5.6827456684733755e-08,1.0,9801.0
DAZL,37,0.03211867877397691,0.2444768603611311,0,0,tested,-0.04939396476705518,0.113631322315009,0.7991361451567996,0.4294526897253356,0.47381577380743833,1.0,16327.0
DBF4,37,0.5894350020811199,0.3061893588528935,0,0,tested,0.4873463871203187,0.691523617041921,11.709724851763596,7.793713008483431e-14,4.990456383055657e-13,1.0,5088.0
DBF4B,37,-0.07850488925327387,0.1597639496027497,0,0,tested,-0.1317728421198136,-0.02523693638673412,-2.9889508864946523,0.005020109185209594,0.007581266685687783,1.0,14517.0
DBH,37,-1.518151683528636,0.5882183352821494,0,0,tested,-1.7142734408897518,-1.3220299261675201,-15.699198107191997,1.1086892911851394e-17,1.6370693163752468e-16,1.0,1257.0
DBI,37,-0.38793667843958063,0.45719832612031175,0,0,tested,-0.5403741898243046,-0.23549916705485657,-5.161275877286716,9.170290847808023e-06,1.918973906253886e-05,1.0,7424.0
DBN1,37,-0.5501794367134814,0.5425691202869605,0,0,tested,-0.7310809880218269,-0.36927788540513584,-6.168082070006765,4.145971102936935e-07,1.0060428917517911e-06,1.0,5453.0
DBNDD1,37,-0.044713911237748434,0.7911796876331237,0,0,tested,-0.3085063526151462,0.21907853013964934,-0.3437703319630443,0.7330188221167658,0.7644200584595119,1.0,15794.0
DBNDD2,37,0.6669433132053917,0.49638933249164086,0,0,tested,0.5014388697288468,0.8324477566819366,8.172733638402722,1.0150328146957973e-09,3.4023295569681033e-09,1.0,4475.0
DBNL,37,0.607525876395773,0.21999199212593634,0,0,tested,0.5341768943712396,0.6808748584203065,16.798046153476857,1.2908394935689987e-18,2.4838483235867355e-17,1.0,4926.0
DBP,37,0.3860368208636684,0.4708334675081109,0,0,tested,0.22905312699797875,0.5430205147293581,4.9872629524249295,1.5620145726695694e-05,3.182068459024761e-05,1.0,7451.0
DBR1,37,0.2599423018115006,0.32392526897475893,0,0,tested,0.15194024000135803,0.3679443636216431,4.881271839344139,2.1583567859017282e-05,4.324715953954575e-05,1.0,9687.0
DBT,37,-1.01081372246109,0.30100702674206137,0,0,tested,-1.1111744618698347,-0.9104529830523452,-20.42656579364967,2.173807288574483e-21,9.137236636308077e-20,1.0,2590.0
DBX1,37,0.010874338149261859,0.039830482005574416,0,0,tested,-0.002405805734261546,0.024154482032785266,1.6606883297788149,0.10546262487724146,0.1321443741930595,1.0,17523.0
DBX2,37,-0.10100945950693811,0.16372093805096055,0,0,tested,-0.15559673800780802,-0.0464221810060682,-3.75282821372079,0.0006160041168840537,0.0010417271230095553,1.0,13803.0
