gene,n,finite_fraction,mean_difference,sd_difference,ci_low,ci_high,p_value,q_value,status,absolute_effect_rank
C2CD4B,37,1.0,0.0931438376648163,0.43667259725499363,-0.05245005499072779,0.2387377303203604,0.20272080126709133,0.24039107296793918,tested,14068.0
C2CD4C,37,1.0,0.3236554898524386,0.3180310281789706,0.21761866576754496,0.4296923139373322,3.8721571427035827e-07,9.439599478571758e-07,tested,8467.0
C2CD4D,37,1.0,-0.013967789750316564,0.42190351965852824,-0.15463742676967399,0.12670184726904085,0.8415353536807242,0.861670611967244,tested,17307.0
C2CD5,37,1.0,-0.3221808451212273,0.2913162136925265,-0.41931050659252367,-0.22505118364993096,7.503663986880985e-08,1.9822877697186287e-07,tested,8491.0
C2orf15,37,1.0,-0.9204225599688616,0.38653180813055127,-1.0492986811971654,-0.7915464387405577,1.3683202642758773e-16,1.5563305952362126e-15,tested,3011.0
C2orf16,37,1.0,0.1534374032003355,0.3713089016597982,0.029636851688429458,0.27723795471224155,0.016564400240730418,0.023406217731466897,tested,12283.0
C2orf40,37,1.0,-2.4254667892568875,1.0195392421389935,-2.765398096857165,-2.08553548165661,1.4088351741425853e-16,1.5995268498743697e-15,tested,431.0
C2orf42,37,1.0,-0.1345929323376224,0.19003640149283327,-0.19795422318463363,-0.07123164149061118,0.00012153205906949192,0.00022281466485406994,tested,12778.0
C2orf49,37,1.0,0.1849270708728649,0.22421210520358467,0.11017103309469867,0.2596831086510311,1.4264133654964796e-05,2.9187157949335692e-05,tested,11474.0
C2orf50,37,1.0,0.03838097394923705,0.21109860577062198,-0.03200280543492143,0.10876475333339553,0.27608869567639976,0.319089434114573,tested,16065.0
C2orf54,37,1.0,-2.354040976406134,1.3353647837617988,-2.799273762262577,-1.9088081905496914,9.315378907365708e-13,4.927304027763489e-12,tested,473.0
C2orf61,37,1.0,0.07001914628021588,0.13928190437847893,0.023580247291785893,0.11645804526864587,0.004188463060809018,0.006391506505573974,tested,14823.0
C2orf66,37,1.0,-0.09920901655900738,0.09330816394323278,-0.13031950732585523,-0.06809852579215954,1.656805304510827e-07,4.2144260805301635e-07,tested,13855.0
